A.L.E: Arcade Learning Environment (version 0.10.1+6a7e0ae)
[Powered by Stella]
Épisode 194 terminé | Score : 260.00 | Total steps : 18725
Épisode 195 terminé | Score : 420.00 | Total steps : 18796
Épisode 196 terminé | Score : 1140.00 | Total steps : 18933
Épisode 197 terminé | Score : 340.00 | Total steps : 18988
Épisode 198 terminé | Score : 240.00 | Total steps : 19056
Épisode 199 terminé | Score : 1140.00 | Total steps : 19196
Épisode 200 terminé | Score : 340.00 | Total steps : 19253
Épisode 201 terminé | Score : 240.00 | Total steps : 19318
Épisode 202 terminé | Score : 1140.00 | Total steps : 19454
Épisode 203 terminé | Score : 260.00 | Total steps : 19508
Épisode 204 terminé | Score : 440.00 | Total steps : 19582
Épisode 205 terminé | Score : 1140.00 | Total steps : 19718
Épisode 206 terminé | Score : 340.00 | Total steps : 19773
Épisode 207 terminé | Score : 220.00 | Total steps : 19834
Épisode 208 terminé | Score : 1140.00 | Total steps : 19969
Épisode 209 terminé | Score : 260.00 | Total steps : 20023
Épisode 210 terminé | Score : 470.00 | Total steps : 20126
Épisode 211 terminé | Score : 1140.00 | Total steps : 20264
Épisode 212 terminé | Score : 340.00 | Total steps : 20319
Épisode 213 terminé | Score : 210.00 | Total steps : 20379
Épisode 214 terminé | Score : 1140.00 | Total steps : 20518
Épisode 215 terminé | Score : 510.00 | Total steps : 20592
Épisode 216 terminé | Score : 320.00 | Total steps : 20665
Épisode 217 terminé | Score : 1140.00 | Total steps : 20800
Épisode 218 terminé | Score : 340.00 | Total steps : 20855
Épisode 219 terminé | Score : 310.00 | Total steps : 20952
Épisode 220 terminé | Score : 1140.00 | Total steps : 21089
Épisode 221 terminé | Score : 260.00 | Total steps : 21143
Épisode 222 terminé | Score : 420.00 | Total steps : 21214
Épisode 223 terminé | Score : 1140.00 | Total steps : 21351
Épisode 224 terminé | Score : 510.00 | Total steps : 21425
Épisode 225 terminé | Score : 560.00 | Total steps : 21511
Épisode 226 terminé | Score : 940.00 | Total steps : 21712
Épisode 227 terminé | Score : 510.00 | Total steps : 21786
Épisode 228 terminé | Score : 1060.00 | Total steps : 21896
Épisode 229 terminé | Score : 1140.00 | Total steps : 22034
Épisode 230 terminé | Score : 340.00 | Total steps : 22091
Épisode 231 terminé | Score : 240.00 | Total steps : 22157
Épisode 232 terminé | Score : 1140.00 | Total steps : 22292
Épisode 233 terminé | Score : 340.00 | Total steps : 22349
Épisode 234 terminé | Score : 320.00 | Total steps : 22469
Épisode 235 terminé | Score : 860.00 | Total steps : 22589
Épisode 236 terminé | Score : 410.00 | Total steps : 22647
Épisode 237 terminé | Score : 880.00 | Total steps : 22731
Épisode 238 terminé | Score : 1140.00 | Total steps : 22866
Épisode 239 terminé | Score : 340.00 | Total steps : 22921
Épisode 240 terminé | Score : 630.00 | Total steps : 23035
Épisode 241 terminé | Score : 940.00 | Total steps : 23231
Épisode 242 terminé | Score : 510.00 | Total steps : 23305
Épisode 243 terminé | Score : 150.00 | Total steps : 23347
Épisode 244 terminé | Score : 1140.00 | Total steps : 23486
Épisode 245 terminé | Score : 340.00 | Total steps : 23543
Épisode 246 terminé | Score : 240.00 | Total steps : 23605
Épisode 247 terminé | Score : 1140.00 | Total steps : 23744
Épisode 248 terminé | Score : 260.00 | Total steps : 23798
Épisode 249 terminé | Score : 420.00 | Total steps : 23869
Épisode 250 terminé | Score : 1140.00 | Total steps : 24004
Épisode 251 terminé | Score : 340.00 | Total steps : 24060
Épisode 252 terminé | Score : 390.00 | Total steps : 24131
Épisode 253 terminé | Score : 1140.00 | Total steps : 24272
Épisode 254 terminé | Score : 340.00 | Total steps : 24327
Épisode 255 terminé | Score : 630.00 | Total steps : 24414
Épisode 256 terminé | Score : 1140.00 | Total steps : 24556
